date,RefSt,Sensor_MLR_O3,Sensor_SVR_O3
10/05/2017 00:00,72.0,78.51,70.37
10/05/2017 01:00,60.0,66.49,59.77
10/05/2017 02:00,62.0,54.47,49.16
10/05/2017 03:00,87.0,71.58,65.94
10/05/2017 04:00,72.0,74.07,67.78
10/05/2017 05:00,41.0,42.28,43.73
10/05/2017 06:00,46.0,38.4,61.92
10/05/2017 07:00,52.0,45.16,60.34
10/05/2017 08:00,55.0,58.39,63.72
10/05/2017 09:00,88.0,86.08,85.35
10/05/2017 10:00,99.0,108.43,101.37
10/05/2017 11:00,108.0,117.29,102.16
10/05/2017 12:00,115.0,116.74,103.18
10/05/2017 13:00,114.0,124.86,105.23
10/05/2017 14:00,118.0,125.01,103.82
10/05/2017 15:00,120.0,127.38,105.18
10/05/2017 16:00,117.0,118.5,100.01
10/05/2017 17:00,114.0,112.24,97.58
10/05/2017 18:00,116.0,105.31,96.06
10/05/2017 19:00,84.0,100.28,97.65
10/05/2017 20:00,65.0,71.35,82.03
10/05/2017 21:00,59.0,62.17,70.28
10/05/2017 22:00,54.0,52.94,54.69
10/05/2017 23:00,60.0,53.43,53.87
11/05/2017 00:00,42.0,53.13,55.45
11/05/2017 01:00,57.0,52.89,56.92
11/05/2017 02:00,77.0,52.65,58.39
11/05/2017 03:00,42.0,69.38,83.42
11/05/2017 04:00,56.0,39.24,37.24
11/05/2017 05:00,67.0,56.76,62.1
11/05/2017 06:00,22.0,84.39,98.44
11/05/2017 07:00,25.0,22.14,26.97
11/05/2017 08:00,43.0,34.06,31.56
11/05/2017 09:00,78.0,41.96,39.61
11/05/2017 10:00,100.0,84.81,92.1
11/05/2017 11:00,100.0,107.46,105.48
11/05/2017 12:00,87.0,97.8,106.55
11/05/2017 13:00,101.0,84.07,99.88
11/05/2017 14:00,89.0,97.52,96.02
11/05/2017 15:00,92.0,98.69,105.37
11/05/2017 16:00,93.0,102.03,103.7
11/05/2017 17:00,95.0,104.18,99.96
11/05/2017 18:00,74.0,94.9,95.14
11/05/2017 19:00,47.0,58.07,60.55
11/05/2017 20:00,64.0,64.99,69.42
11/05/2017 21:00,64.0,61.91,65.2
11/05/2017 22:00,49.0,62.63,66.0
11/05/2017 23:00,50.0,36.89,36.21
14/05/2017 00:00,58.0,52.73,52.51
14/05/2017 01:00,40.0,46.34,48.44
14/05/2017 02:00,49.0,39.96,44.38
14/05/2017 03:00,34.0,36.06,48.6
14/05/2017 04:00,28.0,27.39,38.98
14/05/2017 05:00,33.0,24.72,35.02
14/05/2017 06:00,39.0,38.2,59.57
14/05/2017 07:00,49.0,46.21,58.35
14/05/2017 08:00,62.0,69.53,70.85
14/05/2017 09:00,82.0,82.07,82.76
14/05/2017 10:00,87.0,101.79,105.52
14/05/2017 11:00,90.0,102.3,104.19
